Alpecin–Premier,Tech,,,,,,5.0,ROULEUR
EF,Education–EasyPost,,,,,,5.0,ROULEUR
Groupama–FDJ,United,,,,,,5.0,ROULEUR
Ineos,Grenadiers,,,,,,5.0,ROULEUR
Red,Bull–Bora–Hansgrohe,,,,,,5.0,ROULEUR
Maurice,Ballerstedt,,,,,,5.0,ROULEUR
Tobias,Bayer,,,,,,5.0,ROULEUR
Francesco,Busatto,,,,,,5.0,ROULEUR
Ramses,Debruyne,,,,,,5.0,ROULEUR
Simon,Dehairs,,,,,,5.0,ROULEUR
Silvan,Dillier,,,,,,5.0,ROULEUR
Gal,Glivar,,,,,,5.0,ROULEUR
Michael,Gogl,,,,,,5.0,ROULEUR
Kaden,Groves,,,,,,5.0,ROULEUR
Hugo,Houle,,,,,,5.0,ROULEUR
Tim,Marsman,,,,,,5.0,ROULEUR
Jasper,Philipsen,,,,,,5.0,ROULEUR
Edward,Planckaert,,,,,,5.0,ROULEUR
Jensen,Plowright,,,,,,5.0,ROULEUR
Johan,Price-Pejtersen,,,,,,5.0,ROULEUR
Senna,Remijn,,,,,,5.0,ROULEUR
Jonas,Rickaert,,,,,,5.0,ROULEUR
Oscar,Riesebeek,,,,,,5.0,ROULEUR
Florian,Sénéchal,,,,,,5.0,ROULEUR
Sente,Sentjens,,,,,,5.0,ROULEUR
Gerben,Thijssen,,,,,,5.0,ROULEUR
Henri,Uhlig,,,,,,5.0,ROULEUR
Luca,Vergallito,,,,,,5.0,ROULEUR
Emiel,Verstrynge,,,,,,5.0,ROULEUR
Nikias,Arndt,,,,,,5.0,ROULEUR
Phil,Bauhaus,,,,,,5.0,ROULEUR
Pello,Bilbao,,,,,,5.0,ROULEUR
Alessandro,Borgo,,,,,,5.0,ROULEUR
Alberto,Bruttomesso,,,,,,5.0,ROULEUR
Santiago,Buitrago,,,,,,5.0,ROULEUR
Damiano,Caruso,,,,,,5.0,ROULEUR
Roman,Ermakov,,,,,,5.0,ROULEUR
Žak,Eržen,,,,,,5.0,ROULEUR
Afonso,Eulálio,,,,,,5.0,ROULEUR
Matevž,Govekar,,,,,,5.0,ROULEUR
Kamil,Gradek,,,,,,5.0,ROULEUR
Rainer,Kepplinger,,,,,,5.0,ROULEUR
Lenny,Martinez,,,,,,5.0,ROULEUR
Fran,Miholjević,,,,,,5.0,ROULEUR
Pau,Miquel,,,,,,5.0,ROULEUR
Matej,Mohorič,,,,,,5.0,ROULEUR
Jakob,Omrzel,,,,,,5.0,ROULEUR
Mathijs,Paasschens,,,,,,5.0,ROULEUR
Alec,Segaert,,,,,,5.0,ROULEUR
Daniel,Skerl,,,,,,5.0,ROULEUR
Robert,Stannard,,,,,,5.0,ROULEUR
Oliver,Stockwell,,,,,,5.0,ROULEUR
Antonio,Tiberi,,,,,,5.0,ROULEUR
Attila,Valter,,,,,,5.0,ROULEUR
Edoardo,Zambanini,,,,,,5.0,ROULEUR
Decathlon–CMA,CGM,,,,,,5.0,ROULEUR
Tiesj,Benoot,,,,,,5.0,ROULEUR
Léo,Bisiaux,,,,,,5.0,ROULEUR
Stefan,Bissegger,,,,,,5.0,ROULEUR
Cees,Bol,,,,,,5.0,ROULEUR
Oscar,Chamberlain,,,,,,5.0,ROULEUR
Stan,Dewulf,,,,,,5.0,ROULEUR
Felix,Gall,,,,,,5.0,ROULEUR
Pierre,Gautherat,,,,,,5.0,ROULEUR
Robbe,Ghys,,,,,,5.0,ROULEUR
Tord,Gudmestad,,,,,,5.0,ROULEUR
Daan,Hoole,,,,,,5.0,ROULEUR
Noa,Isidore,,,,,,5.0,ROULEUR
Olav,Kooij,,,,,,5.0,ROULEUR
Antoine,L'Hote,,,,,,5.0,ROULEUR
Jordan,Labrosse,,,,,,5.0,ROULEUR
Paul,Lapeira,,,,,,5.0,ROULEUR
Gregor,Mühlberger,,,,,,5.0,ROULEUR
Oliver,Naesen,,,,,,5.0,ROULEUR
Aurélien,Paret-Peintre,,,,,,5.0,ROULEUR
Gianluca,Pollefliet,,,,,,5.0,ROULEUR
Nicolas,Prodhomme,,,,,,5.0,ROULEUR
Matthew,Riccitello,,,,,,5.0,ROULEUR
Callum,Scotson,,,,,,5.0,ROULEUR
Paul,Seixas,,,,,,5.0,ROULEUR
Johannes,Staune-Mittet,,,,,,5.0,ROULEUR
Mattia,Agostinacchio,,,,,,5.0,ROULEUR
Vincenzo,Albanese,,,,,,5.0,ROULEUR
Kasper,Asgreen,,,,,,5.0,ROULEUR
Samuele,Battistella,,,,,,5.0,ROULEUR
Alex,Baudin,,,,,,5.0,ROULEUR
Markel,Beloki,,,,,,5.0,ROULEUR
